*ERROR* 	2016/01/11 - 02:10:03: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'd%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3E%3Cbr%20/%3E%3Cb%3E' at line 1<br /><br /><pre>select a.id_tag ,a.name,b.catagory from ps_tag a LEFT JOIN px_tag_extra b on a.id_tag =b.id_tag where a.`name` = '%3Cbr%20/%3E%3Cb%3ENotice%3C/b%3E:%20%20Undefined%20index:%20link_rewrite%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3E%3Cbr%20/%3E%3Cb%3ENotice%3C/b%3E:%20%20Undefined%20index:%20id_image%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3Ehttp://www.prestashop run.com/ home_default/.jpg' LIMIT 1</pre> at line 791 in file classes/db/Db.php
*ERROR* 	2016/01/11 - 02:10:03: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplug' at line 1<br /><br /><pre>select a.id_tag ,a.name,b.catagory from ps_tag a LEFT JOIN px_tag_extra b on a.id_tag =b.id_tag where a.`name` = '%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3E%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'id_image'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3Ehttp://www.prestashop run.com/L home_default/L.jpg' LIMIT 1</pre> at line 791 in file classes/db/Db.php
*ERROR* 	2016/01/11 - 02:10:03: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplug' at line 1<br /><br /><pre>select a.id_tag ,a.name,b.catagory from ps_tag a LEFT JOIN px_tag_extra b on a.id_tag =b.id_tag where a.`name` = '%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3E%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'id_image'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3Ehttp://www.prestashop run.com/l home_default/l.jpg' LIMIT 1</pre> at line 791 in file classes/db/Db.php
*ERROR* 	2016/01/11 - 02:10:03: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplug' at line 1<br /><br /><pre>select a.id_tag ,a.name,b.catagory from ps_tag a LEFT JOIN px_tag_extra b on a.id_tag =b.id_tag where a.`name` = '%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3E%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'id_image'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3Ehttp://www.prestashop run.com/h home_default/h.jpg' LIMIT 1</pre> at line 791 in file classes/db/Db.php
*ERROR* 	2016/01/11 - 02:10:04: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplug' at line 1<br /><br /><pre>select a.id_tag ,a.name,b.catagory from ps_tag a LEFT JOIN px_tag_extra b on a.id_tag =b.id_tag where a.`name` = '%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3E%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'id_image'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3Ehttp://www.prestashop run.com/H home_default/H.jpg' LIMIT 1</pre> at line 791 in file classes/db/Db.php
*ERROR* 	2016/01/11 - 02:10:04: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplug' at line 1<br /><br /><pre>select a.id_tag ,a.name,b.catagory from ps_tag a LEFT JOIN px_tag_extra b on a.id_tag =b.id_tag where a.`name` = '%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3E%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'id_image'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3Ehttp://www.prestashop run.com/t home_default/t.jpg' LIMIT 1</pre> at line 791 in file classes/db/Db.php
*ERROR* 	2016/01/11 - 02:10:04: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplug' at line 1<br /><br /><pre>select a.id_tag ,a.name,b.catagory from ps_tag a LEFT JOIN px_tag_extra b on a.id_tag =b.id_tag where a.`name` = '%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3E%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'id_image'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3Ehttp://www.prestashop run.com/T home_default/T.jpg' LIMIT 1</pre> at line 791 in file classes/db/Db.php
*ERROR* 	2016/01/11 - 02:10:05: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplug' at line 1<br /><br /><pre>select a.id_tag ,a.name,b.catagory from ps_tag a LEFT JOIN px_tag_extra b on a.id_tag =b.id_tag where a.`name` = '%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3E%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'id_image'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3Ehttp://www.prestashop run.com/K home_default/K.jpg' LIMIT 1</pre> at line 791 in file classes/db/Db.php
*ERROR* 	2016/01/11 - 02:10:05: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplug' at line 1<br /><br /><pre>select a.id_tag ,a.name,b.catagory from ps_tag a LEFT JOIN px_tag_extra b on a.id_tag =b.id_tag where a.`name` = '%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3E%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'id_image'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3Ehttp://www.prestashop run.com/k home_default/k.jpg' LIMIT 1</pre> at line 791 in file classes/db/Db.php
*ERROR* 	2016/01/11 - 02:10:05: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplug' at line 1<br /><br /><pre>select a.id_tag ,a.name,b.catagory from ps_tag a LEFT JOIN px_tag_extra b on a.id_tag =b.id_tag where a.`name` = '%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3E%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'id_image'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3Ehttp://www.prestashop run.com/c home_default/c.jpg' LIMIT 1</pre> at line 791 in file classes/db/Db.php
